task,seed,tier,n_trials,reward_mean,reward_std,reward_min,reward_max,structure,block_color,block_ssim,edge_ssim,text_color
eval-apple-easy,apple,easy,3,0.7957,0.0085,0.7837,0.8024,0.7874,0.9796,0.4287,0.872,0.9352
eval-grape-easy,grape,easy,3,0.7609,0.0121,0.7438,0.77,0.7779,0.9324,0.3751,0.8262,0.8922
eval-lemon-easy,lemon,easy,3,0.7843,0.0102,0.775,0.7984,0.7115,0.951,0.6106,0.8843,0.8831
eval-pear-easy,pear,easy,3,0.8085,0.0148,0.7889,0.8245,0.8199,0.9651,0.4513,0.865,0.9346
eval-apricot-easy,apricot,easy,3,0.7335,0.0167,0.7177,0.7567,0.7631,0.9475,0.3534,0.7382,0.877
eval-guava-easy,guava,easy,3,0.7734,0.0142,0.7588,0.7927,0.789,0.9665,0.4644,0.6671,0.9183
eval-banana-medium,banana,medium,3,0.7663,0.0083,0.7575,0.7775,0.7961,0.9363,0.4609,0.6895,0.8568
eval-peach-medium,peach,medium,3,0.7957,0.0036,0.7912,0.8001,0.8196,0.9465,0.4776,0.7535,0.9116
eval-plum-medium,plum,medium,3,0.7599,0.0103,0.7455,0.7686,0.8322,0.9499,0.3213,0.7312,0.9003
eval-lime-medium,lime,medium,3,0.7744,0.0101,0.7612,0.7858,0.7797,0.9605,0.4025,0.8156,0.9159
eval-mango-medium,mango,medium,3,0.7404,0.019,0.719,0.7651,0.8313,0.945,0.3589,0.5516,0.8916
eval-papaya-medium,papaya,medium,3,0.7753,0.0076,0.7646,0.7809,0.8108,0.9576,0.402,0.7449,0.9031
eval-coconut-medium,coconut,medium,3,0.7435,0.0128,0.7275,0.7588,0.7697,0.9686,0.3278,0.7515,0.8968
eval-cherry-hard,cherry,hard,3,0.75,0.0005,0.7494,0.7506,0.8236,0.9203,0.4287,0.5546,0.8811
eval-melon-hard,melon,hard,3,0.7569,0.0136,0.74,0.7732,0.8486,0.9378,0.3539,0.6229,0.8934
eval-fig-hard,fig,hard,3,0.7748,0.024,0.7414,0.7963,0.8513,0.9152,0.4696,0.6245,0.8505
eval-kiwi-hard,kiwi,hard,2,0.7121,0.0059,0.7062,0.718,0.7531,0.931,0.3901,0.5161,0.8865
eval-pomegranate-hard,pomegranate,hard,3,0.7652,0.0034,0.7612,0.7694,0.854,0.9489,0.4227,0.5337,0.9154
eval-pineapple-hard,pineapple,hard,3,0.7622,0.0046,0.7579,0.7685,0.8322,0.9466,0.4362,0.5969,0.8426
eval-raspberry-hard,raspberry,hard,3,0.778,0.0043,0.7734,0.7837,0.8081,0.9605,0.4227,0.7376,0.8827
eval-blueberry-hard,blueberry,hard,3,0.7414,0.0106,0.7319,0.7562,0.8298,0.8569,0.3986,0.6712,0.8116
