task,seed,tier,trial,reward,structure,block_color,block_ssim,edge_ssim,text_color
eval-apple-easy,apple,easy,bEeayFE,0.8024,0.8181,0.9801,0.4049,0.8741,0.9342
eval-apple-easy,apple,easy,hLTp7h5,0.7837,0.7738,0.9752,0.4039,0.8713,0.9258
eval-apple-easy,apple,easy,vcMmzSL,0.8011,0.7702,0.9836,0.4772,0.8707,0.9456
eval-grape-easy,grape,easy,PqjMELD,0.769,0.8019,0.9244,0.3713,0.829,0.8946
eval-grape-easy,grape,easy,btgrhYz,0.77,0.798,0.948,0.3626,0.8226,0.9083
eval-grape-easy,grape,easy,xnTnRPT,0.7438,0.7339,0.9247,0.3914,0.827,0.8738
eval-lemon-easy,lemon,easy,fQ5t5GX,0.7984,0.7268,0.9518,0.673,0.882,0.8681
eval-lemon-easy,lemon,easy,tKHFWJY,0.7794,0.7174,0.9542,0.5634,0.8789,0.8838
eval-lemon-easy,lemon,easy,vczhDw6,0.775,0.6904,0.9469,0.5955,0.8919,0.8974
eval-pear-easy,pear,easy,6gDFm3i,0.7889,0.8105,0.9639,0.3741,0.8611,0.9436
eval-pear-easy,pear,easy,S3vBJJu,0.8122,0.8279,0.9609,0.4585,0.8646,0.9283
eval-pear-easy,pear,easy,ubEPKea,0.8245,0.8212,0.9706,0.5213,0.8692,0.932
eval-apricot-easy,apricot,easy,3bdWxpA,0.7177,0.777,0.9483,0.2862,0.729,0.887
eval-apricot-easy,apricot,easy,MDgTPMA,0.7567,0.7344,0.9473,0.4857,0.7394,0.8794
eval-apricot-easy,apricot,easy,S2gD8NM,0.7262,0.7778,0.9469,0.2882,0.7461,0.8645
eval-guava-easy,guava,easy,4zA4cRk,0.7927,0.8021,0.9679,0.552,0.641,0.9189
eval-guava-easy,guava,easy,5PcgYK8,0.7588,0.7729,0.9615,0.4031,0.7104,0.9169
eval-guava-easy,guava,easy,8r6PDVb,0.7688,0.7919,0.9701,0.4381,0.65,0.9191
eval-banana-medium,banana,medium,HG9fSsM,0.7575,0.7726,0.9387,0.4613,0.6872,0.8515
eval-banana-medium,banana,medium,pqnFpmJ,0.7638,0.8036,0.9332,0.4385,0.6909,0.8601
eval-banana-medium,banana,medium,zrekWgg,0.7775,0.812,0.9371,0.4828,0.6903,0.8589
eval-peach-medium,peach,medium,DinRLdv,0.8001,0.8276,0.9366,0.4978,0.7586,0.8998
eval-peach-medium,peach,medium,sEF7P3a,0.7957,0.8174,0.9496,0.4774,0.7504,0.9162
eval-peach-medium,peach,medium,uV6FDkp,0.7912,0.8137,0.9534,0.4575,0.7516,0.9189
eval-plum-medium,plum,medium,Bm7c2bb,0.7455,0.8224,0.9482,0.2826,0.7361,0.9066
eval-plum-medium,plum,medium,MqqWQjk,0.7657,0.8276,0.9498,0.3469,0.733,0.8933
eval-plum-medium,plum,medium,rWF8v8a,0.7686,0.8465,0.9518,0.3345,0.7246,0.9011
eval-lime-medium,lime,medium,BCSmM74,0.7612,0.7382,0.9584,0.4216,0.8174,0.9069
eval-lime-medium,lime,medium,aCY3PzU,0.7763,0.7883,0.9618,0.3947,0.8157,0.9138
eval-lime-medium,lime,medium,vXYAPpR,0.7858,0.8127,0.9613,0.3911,0.8136,0.9269
eval-mango-medium,mango,medium,MU4Eepk,0.7651,0.84,0.95,0.4553,0.5314,0.8937
eval-mango-medium,mango,medium,TySHocu,0.719,0.8137,0.9395,0.2985,0.5565,0.8806
eval-mango-medium,mango,medium,XJJitsD,0.737,0.8403,0.9455,0.323,0.567,0.9006
eval-papaya-medium,papaya,medium,dKrdYBJ,0.7809,0.8245,0.9554,0.4152,0.7364,0.8881
eval-papaya-medium,papaya,medium,emXiCzJ,0.7646,0.7907,0.9551,0.3923,0.7402,0.9041
eval-papaya-medium,papaya,medium,z2UQYD2,0.7805,0.8173,0.9624,0.3984,0.7581,0.917
eval-coconut-medium,coconut,medium,C5wRgYD,0.7275,0.7399,0.9645,0.317,0.7492,0.8834
eval-coconut-medium,coconut,medium,wr4uTmG,0.7443,0.7772,0.9703,0.3205,0.7495,0.9042
eval-coconut-medium,coconut,medium,xQyCuXW,0.7588,0.7921,0.971,0.3459,0.7558,0.9029
eval-cherry-hard,cherry,hard,2pr8SEK,0.7499,0.8137,0.9224,0.4384,0.5556,0.8846
eval-cherry-hard,cherry,hard,dw9PMEG,0.7506,0.846,0.9247,0.396,0.5602,0.8646
